,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_hog_extractor__color_space,param_hog_extractor__hist_feat,param_hog_extractor__hog_channel,param_hog_extractor__spatial_feat,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,17.101643085479736,4.596667051315308,0.9401459854014599,0.999731855559528,RGB,False,0,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'RGB'}",69,0.9401459854014599,0.999731855559528,0.0,0.0,0.0,0.0
40,22.679160118103027,6.955269813537598,0.9372262773722628,0.9999106185198426,HLS,True,0,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'HLS'}",70,0.9372262773722628,0.9999106185198426,0.0,0.0,0.0,0.0
28,24.769788026809692,7.254735946655273,0.9334723670490094,0.9987486592777977,LUV,True,2,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 2, 'hog_extractor__color_space': 'LUV'}",71,0.9334723670490094,0.9987486592777977,0.0,0.0,0.0,0.0
60,23.855515956878662,7.371888875961304,0.9290928050052137,0.9991955666785842,YUV,True,2,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 2, 'hog_extractor__color_space': 'YUV'}",72,0.9290928050052137,0.9991955666785842,0.0,0.0,0.0,0.0
18,19.51319694519043,4.9365150928497314,0.92429614181439,0.9982123703968537,LUV,False,1,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 1, 'hog_extractor__color_space': 'LUV'}",73,0.92429614181439,0.9982123703968537,0.0,0.0,0.0,0.0
50,20.443599939346313,4.658297061920166,0.9240875912408759,0.9995530925992134,YUV,False,1,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 1, 'hog_extractor__color_space': 'YUV'}",74,0.9240875912408759,0.9995530925992134,0.0,0.0,0.0,0.0
66,20.74092197418213,4.500108003616333,0.9220020855057351,0.9978548444762245,YCrCb,False,1,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 1, 'hog_extractor__color_space': 'YCrCb'}",75,0.9220020855057351,0.9978548444762245,0.0,0.0,0.0,0.0
32,20.59567880630493,4.855386018753052,0.9155370177267987,0.998569896317483,HLS,False,0,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'HLS'}",76,0.9155370177267987,0.998569896317483,0.0,0.0,0.0,0.0
68,25.317591905593872,4.561777114868164,0.9040667361835245,0.990525563103325,YCrCb,False,2,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 2, 'hog_extractor__color_space': 'YCrCb'}",77,0.9040667361835245,0.990525563103325,0.0,0.0,0.0,0.0
20,23.3574481010437,4.800394058227539,0.9017726798748696,0.9935645334286736,LUV,False,2,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 2, 'hog_extractor__color_space': 'LUV'}",78,0.9017726798748696,0.9935645334286736,0.0,0.0,0.0,0.0
36,29.043866872787476,5.963726043701172,0.8982273201251303,0.995977833392921,HLS,False,2,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 2, 'hog_extractor__color_space': 'HLS'}",79,0.8982273201251303,0.995977833392921,0.0,0.0,0.0,0.0
52,25.328552961349487,4.7969970703125,0.8930135557872784,0.9882016446192349,YUV,False,2,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 2, 'hog_extractor__color_space': 'YUV'}",80,0.8930135557872784,0.9882016446192349,0.0,0.0,0.0,0.0
